text,category
"That isn't enough change Windows startup logo. vgalogo.rle needed installed Windows. It incorporated part win.com. To make new win.com, concatinate three files together, using /b option binary concatonation. I beleive copy /b win.cnf+vgalogo.lgo+vgalogo.rle mywin.com Make sure backup win.com file anotehr directory -- I absent-mindedly typed win.com instead mywin.com resinstall Windows! Anyway, substitute whatever .RLE file want. The win.cnf info needed start Windows (think bootstrap) vgalogo.vga video information. Just make sure .RLE file doesn't tip whole COM file size 64k limit .COM file! So anyway, I use mywin.com startup MS Windows. Now instead annoying Micro$oft advertisment, I Joker (yes, Batman) taking yoru picture screen, saying ""Smile!"" Also little bit text: ""Micro$oft Windows: The world's first commercially sucessful virus."" I added frequency crashes. <grin> Rob",1
"Do mean prog. doesn't jump DOS display back create temp. DOS window? If yes I might recommend WinZip ftp.cica.indiana.edu. I'm afraid I don't file name version able find it. It's fully compatible ver. 2.04g functional. Later, Phil Trodwell",1
A book I somewhat recommend : Pratical Image Processing C Craig A. Lindley published Wiley,0
"Dear Netters: I looking C source code test 3D point lies within concave polyhadra. I read articles know two solutions exist: parity counting angle sumation. Both ideas pretty simple coding not. So I wonder exists public domain source code this. Another 'rough' solition (don't care special cases) ray-casting reported less independent number faces consisting polyhedra special space indexing used (M. Tamminen, et. al., 1984. ""Ray-casting block model conversion using spatial index"". Computer-Aided-Designs. 4, 1984, 60-65). But prerequirement facets polyhedra normal pointing outside polyhedra. How could done practice I set trangles consisting polyhedra. How could I ensure normals pointing outside polyhedra The paper mentioned assumed already case. I also read standard computer graphics textbook hidden line removal. It says ""if make rule normal facet pointing toward viewer standing far away polyhedra..."". Again make sure Any pointers welcome Yaohong Jiang Queen's University Kingston, Ont.",0
"Whenever I start File Manager, status bar displayed, even though selected options menu. If I deselect it, select again, bar appears. Anyone ideas happening? Thanks",1
"Hi guys. I scanning color image looks fine screen. When I converted PCX,BMP,GIF files get MS Windows colors got much lighter. For example yellows became white. Any ideas?",0
"Hello All! It understanding True-Type fonts Windows loaded prior starting Windows - makes getting Windows quite slow hundreds I do. First off, I correct thinking - secondly, case - get Windows ignore boot maybe make something like PIF file load enter applications need fonts? Any ideas? Chris",1
"gnuplot, etc. make easy plot real valued functions 2 variables I want plot functions whose values 2-vectors. I plotting arrays arrows (complete arrowheads) going further, I thought I would ask whether someone already done work. Any pointers?? thanx advance",0
"Does anybody know good 2d-graphics packages available IBM RS/6000 AIX I'm looking something like DEC's GKS Hewlett-Packards Starbase, reasonably good support different output devices like plotters, terminals, X etc. I tried also xgks X11 distribution IBM's implementation Phigs. Both work require output devices X-windows. Our salesman IBM familiar graphics I expecting good solutions there. Ari ---",0
"I'd happy US (international) Snail mail technical information imaging databases anyone needs it, provide address hard copy (not Email). We're focusing mostly Open PACE, Oracle, Ingres, Adabas, Sybase, Gupta, regarding imaging databases installed. (We 1,000 installed production now; new ones going Novell LANs, RS/6000, HP Unix workstations.) We work Visual Basic too.",0
I would like reference algorithm detect whether one closed curve bounded number bezier curves lies completely within another closed curve bounded bezier curves. Thanks.,0
"While many PS clones count, quite poor, trying clone something goes regular modifications require patience. Three questions come mid real quick something like this. Q: Which version Adobe PS clone? Aside level 1 level 2 issues, Adobe past released new code incorporates modifications/upgrades/fixes software vendors do. The level 2 stuff may seem sound now, I assure you,changes become frequent customer list begins dwindle face competition. This allows shift people maintenance, well design efforts level 3. Q: Do duplicate bugs, make work correctly? From LaserWriter LaserJet 4 bugs. (If I number call HP Adobe, they'ld heard me.) Deciding approach take depends printer want emulate. Q: Do follow Red Book, follow someone's implementation? Without doubt, differences Red Book Adobe's PS. With level 2 many issues refined Red Book leave big, big holes implementation specific stuff. It would nice Red Bood least pined things enough two different implementations Adobe's PS don't exact opposite given identical set conditions. Q: PSCRIPT.DRV? Having done lot PS clone testing myself, unfortunate side testing limited number sources test files. The primary source use Genoa. And characterizes 1992 PS ATS files, (1300+ them) half taken PSCRIPT.DRV. It may ideal, ATS files printer vendors use. I'm sure Adobe uses too, Adobe's output definition correct, even wrong. Yes, poor clones. We've seen Rastek (a sub Genicom clone called GeniScript). Some poor lack design, poor followed Red Book, poor vendors don't know PS is.",1
"Playmation available direct Anjon Associates $299. It's hard beat price. Also, you'd better newer version older version bugs long since clobbered.",0
OK usefull applications locations other: On Cica mirrors /desktop directory WRKSFT16 ZIP 39798 920915 WokShift Graphical Virtual Desktop (ver 1.6) (email author version 2.0) DESK240 ZIP 164690 921103 Desktop Tools For Windows 3.x (BackMenu 2.4 BigDesk #### Later version BackDesk) TOPDESK ZIP 51051 920723 Virtual Windows Windows ???? FINDER ZIP ??????? 930329 A Mac Finder clone Windows (Works well BackMenu) ************ Also look SuperBar 2.0. Due soon. It allows button bars added almost application.,1
Has anybody made converter irit's .irt .dat format .pov format Thanks!,0
"Hi there!... Well, 386/40 SVGA 1Mb. (OAK chip 077) don't VESA TSR program card. I need Please... anybody help me, mail at: lulagos@araucaria.cec.uchile.cl",0
I using OWL want display output stream popup window. Is way perhaps redirect cout window? Or alternatively set separate stream supports output able display stream output TEdit control? Anyone ever done something like this? --,1
"It's applications this. Unfortunately, even applets ship Win31 seem problem (I've seen Solitaire, example). None I know of. If application doesn't give back resources, lost gone forever, pending restart Windows. If applications don't free memory (and lot don't), there's bugger piece software it. No. This problem applications, usually. There books written one. In general, sure free everything ask exit. Unfortunately, I understand VB *internally* lose resources you, there's way avoid entirely. There's little discussion it's 'inevitable' MS manages come OS garbage collection something resource pool. -- ""Insisting perfect safety people don't balls live real world."" -- Mary Shafer, NASA Ames Dryden",1
"I sent copy today... Snail Mail. Hope get back ten days. (Impulse said ""a week"".) I hope it's good claim... Jim Nobles",0
"An review Mac Windows versions either PC Week Info World week, said Windows version considerably slower Mac. A useful comparison would PhotoStyler PhotoShop Windows. David",0
"We researching support various platforms applications use multi-byte characters (e.g., Japanese Kanji). We know Unix X Windows contain support i18N standard (depending level platform). What support i18N wide characters exists Mac, Windows 3.1 Windows NT?",1
HI! I need codabar font win. TT other. Thanks!,1
"I'm using BC++'s ObjectWindows (3.1), trying resond left button double click message WM_LBUTTONDBLCLK combo box. My codes look like: class MyComboBox : public TComboBox { public: MyComboBox(PTWindowsObject AParent, int ResourceId, WORD ATextLen) : TComboBox(AParent, ResourceId, ATextLen) {}; virtual void WMLButtonDblClk(RTMessage Msg) = [WM_FIRST + WM_LBUTTONDBLCLK]; }; void MyComboBox::WMLButtonDblClk(RTMessage Msg) { ... // responding message (selecting item list box) } Anything wrong program? Any help would appreciated.",1
"[Please excuse inappropriate post here, I read groups normally I see PC related marketplace newsgroups] FOR SALE: Borland C++ Application Frameworks 3.1 (Full Professional Developer Kit) Borland C++ Programming Package including unopened software, unopened manuals, registration card. SOFTWARE INCLUDES: 1. *Still plastic wrapped* high density 5.25 inch disks Borland C++: total 18 diskettes 2 individually wrapped packages, disk ""Borland C++"" ""BC++ APP. FRAMEWORKS 3.1"" label 2. Amish System Utilities Windows (one 5.25"" high density disk): Amish Launch Amish Desk Utilities Windows 3. Phar Lap's 286|DOS-Extender Lite Version 2.5 (one 5.25"" HD disk) MANUALS INCLUDE: 1. *Still Plastic Wrapped* Manuals include (i.e. unopened): A. Boland Windows API Volumes: I: Reference Guide II: Reference Guide III: Windows 3.1 Reference Guide B. Borland Turbo Debugger 3.0 User's Guide C. Borland Turbo Profiler 3.0 User's Guide D. Borland Turbo Assembler 3.0 Users Guide E. Borland C++ 3.1 User's Guide: integrated environment optimization command line compiler installation F. Borland C++ 3.1 Programmer's Guide: language structure, class libraries, advanced prgramming techniques, anci c implementaion G. Borland C++ 3.1 Library Reference: runtime library, global variables, cross-reference H. Borland C++ 3.1 Tools Utilities Guide: error messages, winsightm make, help/resource compilers, tlink I. Borland Object Windows C++ User's Guide: tutorials, class reference 2. Opened (no plastic wrapping, unread) Manuals include: A. Borland Turbo Assembler 3.0 Quick Reference Guide B. Borland Turbo Vision C++ User's Guide C. Borland Resource Workshop User's Guide This package purchased former employee father's father asked try sell since neither us use it. Retails $749, software houses approx. $480. I asking $400. If interested, please e-mail directly I normally read newsgroup.",1
"Well, I dived feet first reverse engineered .PRJ file much I needed - extracted mapping icon information - dawned 3D Studio useless needs. I need mapping icon per applied texture. I want use special purpose graphics computer rendering 3DS models requires texture rule/plane specified 3Space, i.e. position/orientation mapping rule. Since one mapping icon used 3DS apply textures ALL objects/faces, renders (no pun intended) 3DS totally unsuitable needs. Anyone got contact Alias Upfront good modeller PC? I must able specify texture rules (one per texture) must saved file I read. I haven't found info Alias copy faq I have.",0
"I think may chasing wrong problem. I don't think function overloading all-- I sort thing time BC++ without hitch. The big problems I encountered porting MFC BC++ fact MFC _depends_ couple invalid C++ assumptions. I never gotten _entire_ ctrltest app run BC++, reason MS makes bad assumptions order static/global objects initialized (i.e. objects getting accessed initialized). The problem owner-draw menu code somewhere-- comment section, pieces ctrltest work fine. Two major gotchas I found using MFC BC++: - The CFile::OpenFlags enum uses hard-coded numbers open mode, rather manifest constants defined fcntrl.h (which differ MSC BC). - All MFC collection classes depend another bad C++ assumption-- reference base object used place reference derived object (true pointers, NOT references). I sure problems along lines, I encountered (yet). I seen MFC 2.0 yet, I hope addressed. If not, MS's hype portability vendor's compilers that.",1
"Hello again, About week one-half ago I posted query looking people feelings inkjet family printers. Specifically, comparison Canon BJ200 (BubbleJet) Hewlett-Packard DeskJet 500. Many people asked post summary/account postings e-mail I received. Below original query responses I received. I deleted part responses, headers signatures, extract find necessary. Some people asked unbiased account; however, nature question suggests favoritism biased comments, must extract information believe unbiased fair representation printer. There wide range comments, value. There clear winner, like BJ200 (especially price/performance ratio), others preferred durability reliability DeskJet (the original inkjet proven drivers solid background). Two new inkjet printers drawn attention, new printer introduced Hewlett-Packard later year (around summertime), addition Epson product line (their first inkjet). You find initial purchase, costs re-filling replacing ink cartridges (this largely depends purchase re-fills replacements -- shop around first since aspect likely dominate cost printer). No one mentioned approx. many sheets ink cartridge print, I suspect roughly equal 1000 - 1500 sheets (laser printers 4000-5000 sheets per toner cartridge). Well, that's brief research summary personal research. ENJOY! =========================================================================== Well I bought BJ 200 month ago start $50 rebate program printer (it ends 5/31), I bought Computer Discount Warehouse price $325 couldn't beat anywhere I looked, I think it's HOT printer. Just using regular copier paper produced fantastic results high quality mode. I compared output Micrografx Designer legal size drawing 4pt type done BJ 200 drawing printed HP Laserjet IID I amazed well I could read small print BJ 200. Printing speed several seconds faster BJ 200 amazing considering HP 2.5M ram installed. I measured time printer first indicated receiving data (as I used print manager Windows). I showed output several people work one manager bought one immediately office, two engineers placed orders too. If need CDW's phone number, it's 800-598-4239. Delivery NY two days. Good luck! Craig Witkowski, CENG51@maccvm.corp.mot.com Motorola Communications Electronics Inc. Glen Rock, NJ =========================================================================== I Deskjet 500. Performance isn't spectacular Windows using TrueType fonts neither Canon I seen. Quality HP much dependent paper quality - 'standard' photo-copy paper characters slightly 'frayed' edges better quality 'distinction' type paper things look better. For applications I find copy paper fine - still better dot-matrix. Comes Windows driver, seems by-pass print manager, 'intelli-fonts'which HP scaleable fonts - probably faster TrueType haven't really tried out. Can get RAM FONT cartridges unless speed TrueType problem I wouldn't bother. The RAM cartridges can't used buffer - soft fonts only. For graphics, i.e. BMP images etc HP put dither mode via HP supplied Win driver. There number dither options 'scatter', 'pattern' etc. The manual gives recommendations depending type image printed. Text good mode. Problem arises document contains graphic text. The range tones graphic images isn't brilliant I think limitation inkjet printers general. However, printer definitely worth looking new inkjet Epson. This printer faster, cheaper, capable producing laser-like quality normal copier paper. Can't remember model #, LX - something I think? I purchased HP days Epson released :-{. The introductory price Epson HP New Zealand. =========================================================================== About month ago, I got Canon BJ200. I absolutely LOVE it. It incredibly fast, except printing PSPICE (I don't know ever stuff not.) Most stuff I print either Microsoft Word Windows plain text. The problems I've printing headers/footers (the printer freaked out), printing cheap paper (lots streaks). Normal copy paper works great it, tell it's laser-printed holding it, oh, less twelve inches face. (That is, you're nearsighted, like me! :) The printer comes driver Windows 3.1!! I complaints. The printer also act like EPSON another archaic software packages haven't written driver yet. The teeny-weeny footprint real plus, too--AND, purchase May 31, get $50 rebate Canon!! I bought mine store called CompUSA, price $340. I friend HP looking at. It also prints well, everyone drivers it, BUT VERY slow! Hope I helped! (360dpi sure looks great!) Heather Stehman =========================================================================== I guess I experience both: I BJ-300 work Deskjet 500 home. I prefer Deskjet. The printing speed quality similar (I tested text graphics buying Deskjet home). The feature sets Deskjet apart driver support many applications. The BJ ends emulating Epson LQ IBM Proprinter get work many non-windows apps case long time. The design superior want use cut paper, Deskjet quieter, AND ink cartridges quite bit cheaper due number Deskjets comparision BJs. Just $0.02 worth.. -- Mike Mattix Agricultural Group Monsanto P.O. Box 174 Luling, LA 70070 INTERNET Address: dmmatt@bigez.monsanto.com =========================================================================== Yes, landscape mode printing problem, present problem Windows Windows printer driver handles translation. I actually thought points I posted note. The Deskjet unprintable area approximately .5inch around paper Bubblejet not. You right graphics resolutions, I tested printers applications I access to: Wordperfect, Harvard Graphics, WinGIF, Paintshop PRO, Paintbrush could tell difference. In fact one HP Deskjet Windows drivers gives significant control contrast density printer hence controlling amount ink put down. The Bubblejet not. I imaging software test printers comparision there. Finally, I wanted sheet feeding. In configuration Bubblejet cost approximately $100 Deskjet. I went pretty thorough evaluation chose Deskjet I spent money. BTW, I replacing BJ-300 Deskjet 500 work month anyway. Regards Mike Mattix Ag Group Monsanto Luling, LA =========================================================================== I spent time comparing two. We ended getting Bubblejet BJ-200 versus HP. Our reasons were: 1) The HP seemed worse banding Canon 2) 360dpi versus 300 - felt could see difference 3) Price - Canon $50 rebate program going moment. The BJ-200 choice BJ-10ex - could 100 pages BJ-200 feeder. The BJ-10ex holds 30 pages, I think. As see, 100 pages BJ-200. We haven't done anything big BJ, performance seems reasonable Windows. I know Microsoft BBS newer windows driver comes printer, I don't know compares (also driver included printer Canon's whereas I don't know Microsoft BBS one comes - Microsoft?) Hope helps. -- Thomas V. Frauenhofer, WA2YYW tvf@cci.com, ...!uunet!uupsi!cci632!tvf, tvf@cs.rit.edu Mandlebratwurst: The Meal Eats Itself! =========================================================================== Altough I'm sometimes also salesperson (if I'm suppost study :-)) I would recommend buy BJ200. The printing quality bit better, you've got much possiblities. Don't forget HP engine least 2 years marked, Canon engine (witch also used ""new"" bubblejet printers like e.g. Epson ones) quite recently available.. I've seen short demonstration (from someone tryed sell Canon printers) 2 times picture, one printed BJ200, one Canon, HP, and.. difference printing- quality,.. The Canon bit better.. Greetz, Kris =========================================================================== When decided needed quiet printers hospital looked inkjet printers. They near laser quality, speed, quiet. We use HP Deskjets Canon BJ-200s. I prefer paper handling qualities Deskjets I feel Canons superior print quality. The Ideal would Canon sheet feeder, however I end buying deskjet home use (got good deal). Anyway, using Canons high volume areas holding well. Out 15 Deskjets 4 BJ-200s I one problem deskjet taken care quickly HP. -Nate =========================================================================== Whenever I buy anything I look ""experts"" say, pick top buy whatever criteria apt. I've unusually flush lately (no begging letter please) I've done times including - four months ago - inkjet printers. I can't remember much process except I read three reviews inkjets 500 always near top. I bought 500C added dimension colour (I intend build multi- media machine stage bought colour scanner towards that). Although I haven's used colour thing earnest yet I tried couple Windows bitmaps I pleased result. I note even though get 550C (the one colour mono need change cartridge), 500C 500 still readily available (at least UK). The following views/experience: 1. I don't know anything Canon except I came away reviews (and replies posting similar yours) idea HP offered best performance/price ratio. 2. I believe HP originals field - always ideal place market's still young one assumes expertise. 3. The 500C worth extra. Operation mono perfectly acceptable I get good crisp reproduction fonts Windows. 4. I used work Monotype still manufactured typesetters (before AMERICAN owners closed down!) I tell terms definition 300 dpi pretty poor anyway 360 dpi bit less poor... 5. The HP comes reasonable set drivers. 6. If buy invest additional RAM pack - it's pretty slow it, God knows it's like without! I actually work Germany PC home UK it's daily use. I would say apart reading manual properly really dumb problem start it's easy peasy operate. Hope use. Regards David =========================================================================== Just bought BJ-200. I thought price couldn't beat ($329, $50 rebate thru 5/31) far comparable, even superior, DeskJet print quality. Speed: Per page rate seems faster (I don't figures). I don't print long docs, though. Quality: I think graphics quality excellent. Print quality excellent well, unless use small fonts hold close; see lot ""jaggies"" LaserJet. The 360 dpi offset little less accuracy holding page/print head place, I would imagine. Large docs: Not room standard model whole lotta pages ... manual says 100, though. Haven't tried it. Drivers: No problems Win3.1 yet. WinWord doesn't want print envelopes way Canon does, though. Know nothing add-on costs. Daniel A. Hartung -- dhartung@chinet.chinet.com -- Ask Rotaract =========================================================================== I bought BJ-200 printer couple days ago. I compared sample print HP DeskJet 500 knew HP wasn't me. The BJ-200 pretty fast really prints good quality. I compare HP LaserJet IIID PostScript look almost identical depending kind paper). I don't problems ink dry, seems dry VERY fast. Probably within second. Since Canon giving $50 rebate end May, really good buy. --- Sean Eckton Computer Support Representative College Fine Arts Communications =========================================================================== Wow, it's funny ask this. I'm little behind news reading I know may late. I purchased Canon Bubblejet last night. I really worried I wouldn't like print quality, noise level fantastic! I printed quite documents lots graphics printed DAMN near laser quality. You can't tell it's laser unless get 2 inches page. problems drivers. The printer came driver diskette good I beginning panic I couldn't findi Windows WordPerfect. It works well both. I yet install Word Windows don't know works them. I DeskJet 500 work last year. It good printer well ut I felt awfully slow. And much noisier BubbleJet. I won't say BubbleJet MUCH better, I really like more. Just $0.02 worth. -=- Brett =========================================================================== -- Sincerely, Robert Kayman ---- kayman@cs.stanford.edu -or- cpa@cs.stanford.edu",1
"HELP! I trying find software allow COM port redirection Windows Workgroups. Can anyone make suggestion reccommend something. I would really hate write driver serial port would support network, next step. Thanks advance.",1
"There long running discussion changing Startup logo Windows weeks here. While COPY methods great haven't seen mention program you..... Well... I found one CICA called winlogo (Can't remember unfortuantely), seems work real well... even comes couple example .RLE files. What I'd really like though way create .RLE files myself, specifically RLE4 format mentioned winlogo readme file. Can anyone point direction beast REAL directory path ?? All ones I've seen mentioned didn't pan out.....",1
"I ATI Graph. Ultra Pro VLB w/2 megs, small question Graphics Workshop Windows. When I exit says current driver handle 32768 colors I actually 1024x768x65000 color mode. Is driver problem, GWS error, what? I using 1.5(59) driver Win 3.1. It correctly states I display 16M colors I switch 800x600x24bit, though. Another question- Anybody know Viewers support card Windows viewers? Any help would appreciated.",0
"I looking Super 8mm Projector SOUNDS. If anybody one sale, send email name brand, condition projector, price sale kimd@rpi.edu (IT MUST HAVE SOUND CAPABILITY)",0
"Try telnet 128.196.128.234, login TO_CSERVE This get CompuServe network. Enter hostname CIS you'll get UserID prompt. I haven't, figure let know. Also, let know backspace key works :)",1
"Does anyone know site I could ftp RenderMan shaders? Or newsgroup discussion information RenderMan? I'm new RenderMan (Mac) family, I'd like get much info I lay hands on. Thanks! Andy Bates. --------------------------------------------------------------------------- Andy Bates.",0
"-- My wife physiotherapist looking cliparts skeleton male/female body. We're currently using Windows Draw import kind graphic formats. Therefore, anything do. Please advise existance freeware commerical source turn to. Since I don't normally read newsgroup, please responds via e-mail. Thanks advance.",1
"Oops, forgot phone number. It's 1-800-377-8287.",0
"You CAN print file HP (or printer). Just go Printers section Control Panel. Select printer want re-direct file, click Connect. Then choose :FILE port connect printer to. When print application printer, Windows prompt file name file want capture printout. It's pretty easy. Good luck!",1
"There program called Graphic Workshop FTP wuarchive. The file msdos/graphics directory called ""grfwk61t.zip."" This program od everthing need. --",0
"Pascal Perret, article <1993Apr21.125750.263@eicn.etna.ch>, wrote Funny thing, InterNet: I idea xv221 might - except might something X-windows PCs (? If know, used it, think good, email me. [ryanph@mrl.dsto.gov.au]). DV/X common abbreviation QuarterDeck corporation's Desqview/X software. I used DV/X yet, reading blurbs Quarterdeck sent me, sounds pretty great: * allows multiple DOS machines - way OS/2 does, without requiring 10 MB RAM get OS/2 going * pre-emptive multi-tasking * network computing - proper X-windows client/server application - means DOS program used X-windows computers network, X-windows programs used DV/X computer * although NOT version Unix, effectively many Unix's features, mostly able compile unix-type programs using djgpp gnu c compilers They advertise regularly major computing programming magazines. They also InterNet support online (support@qdeck.com). Hope helps anyone wanting know.",0
"Hi, I'm looking RGB (cube) --> HLS (double hexcone) --> HSV (cylinder) conversion routines. I RGB <--> HSV, miss HLS <--> RGB/HSV. PLEASE E-MAIL ME DIRECTLY, AS I DO NOT GET THIS NEWSGROUP AT MY SITE -------------------------------------------------------------------- Any help wil greatly appreciated. Gert. --",0
"wing suggestion Stu Lynne, I posted Image File Format executable source code alt.sources.",0
"I'm attempting transfer files home computer running Windows 3.1 Terminal workstation school. The file transfer protocol home Kermit binary files. I'm running Kermit workstation school setting file transfer protocol binary. I unable upload files school download files school home. During download, Terminal displays ther retrying message several times message ' Verify you're using correct protocol'. Anyone ideas fix? Either e-mail post group. Thanks, advance,",1
Yes invokes associated application. That takes 10 seconds?,1
